Job Title,Company Name,Location,Skills,Date,Link
Senior Front-End Angular Developer,"Ultimate Solutions Egypt - Victoria, Alexandria, Egypt 6 days ago","Victoria, Alexandria, Egypt ",Experienced · 5 - 7 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · APIs · Computer Science · CSS3 · Design · front-end · Git,6 days ago,https://wuzzuf.net/jobs/p/drNSRkgajokr-Senior-Front-End-Angular-Developer-Ultimate-Solutions-Egypt-Alexandria-Egypt
Frontend Developer (React js) - Full Time On-site,"Confidential - Sidi Bishr, Alexandria, Egypt 4 days ago","Sidi Bishr, Alexandria, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · React · front-end · Information Technology (IT) · JavaScript · Typescript,4 days ago,https://wuzzuf.net/jobs/p/wfWN175WFBN2-Frontend-Developer-React-js---Full-Time-On-site-Alexandria-Egypt
Frontend Team Lead,"Confidential - Smouha, Alexandria, Egypt 8 days ago","Smouha, Alexandria, Egypt ",Experienced · 5 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Agile Scrum · Angular · Communication skills · JavaScript · UI/UX design · DevOps · Dockerm Kubernetes,8 days ago,https://wuzzuf.net/jobs/p/Dzz4g7XbVgBC-Frontend-Team-Lead-Alexandria-Egypt
"Front-End Developer (Blazor, React, Vue, Angular)","Smartly - Nasr City, Cairo, Egypt 9 days ago","Nasr City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Blazor · React · Vue.js,5 days ago,https://wuzzuf.net/jobs/p/ggw5DTsGAtN1-Front-End-Developer-Blazor-React-Vue-Angular-Smartly-Cairo-Egypt
Frontend Engineer,"Devency   - New Nozha, Cairo, Egypt 17 days ago","New Nozha, Cairo, Egypt ",Experienced · 3 - 15 Yrs of Exp · IT/Software Development · Engineering - Other · Software Development · Engineering · React · React.js · UI · front-end · Typescript · Agile,9 days ago,https://wuzzuf.net/jobs/p/dt8EpDESZnmp-Frontend-Engineer-Devency-Cairo-Egypt
Senior Frontend Developer (React),"TXG  - Cairo, Egypt 5 days ago","Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Git · React · TypeScript · RESTful APIs · HTML5 · CSS3 · Code · Computer Science,17 days ago,https://wuzzuf.net/jobs/p/chps3X7dQCD2-Senior-Frontend-Developer-React-TXG-Cairo-Egypt
Frontend Engineer,"SellAbroad - New Cairo, Cairo, Egypt 21 days ago","New Cairo, Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Agile · JavaScript · React · typescript · tailwind,21 days ago,https://wuzzuf.net/jobs/p/01dbzgPlR3w8-Frontend-Engineer-SellAbroad-Cairo-Egypt
Senior Frontend Developer- Angular,"Egabi FSI - Sheraton, Cairo, Egypt 26 days ago","Sheraton, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · javaScript · CSS · CSS3 · Software Development · Angular2+ · Angular,26 days ago,https://wuzzuf.net/jobs/p/vq4CC7d2XfuV-Senior-Frontend-Developer--Angular-Egabi-FSI-Cairo-Egypt
Frontend Developer - Fully Remote Job,"Osus Group  - Cairo, Egypt 29 days ago","Cairo, Egypt ",Experienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS3 · Computer Science · Software Development · Software Engineering · front-end · HTML5 · Information Technology (IT) · JavaScript,29 days ago,https://wuzzuf.net/jobs/p/59cqqDBpfH3i-Frontend-Developer---Fully-Remote-Job-Osus-Group-Cairo-Egypt
Frontend Developer,"InaWaks - Cairo, Egypt 29 days ago","Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · React · JavaScript · Information Technology (IT) · HTML · CSS · Web Development · Software Development,29 days ago,https://wuzzuf.net/jobs/p/ScZERq24boTR-Frontend-Developer-InaWaks-Cairo-Egypt
Full-Stack Developer (Front-End & Back-End),"MIBA LLC - 10th of Ramadan City, Cairo, Egypt 29 days ago","10th of Ramadan City, Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · c++ · CSS · HTML · MongoDB · Python · Node.js · JavaScript,29 days ago,https://wuzzuf.net/jobs/p/sK2oTPBvLlg6-Full-Stack-Developer-Front-End-Back-End-MIBA-LLC-Cairo-Egypt
Senior Frontend Developer,"النورس للتجاره  - New Nozha, Cairo, Egypt 1 month ago","New Nozha, Cairo, Egypt ",Experienced · 4 - 8 Yrs of Exp · IT/Software Development · Angular · Computer Science · Design · Git · CSS · HTML · Information Technology (IT) · JavaScript · React,1 month ago,https://wuzzuf.net/jobs/p/3pVfZj10wxbd-Senior-Frontend-Developer-النورس-للتجاره-Cairo-Egypt
Senior Front-End Developer,"Dash Code - Cairo, Egypt 1 month ago","Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · CSS · front-end · HTML · Git · Information Technology (IT) · Sass · JavaScript · Web Development · back-end,1 month ago,https://wuzzuf.net/jobs/p/Ca0aDEQyoGa7-Senior-Front-End-Developer-Dash-Code-Cairo-Egypt
Senior Front-End Developer,"Bnaia - Maadi, Cairo, Egypt 1 month ago","Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · CSS · CSS3 · front-end · Git · HTML,1 month ago,https://wuzzuf.net/jobs/p/x16OOiy2p5fj-Senior-Front-End-Developer-Bnaia-Cairo-Egypt
Senior Front-End Developer – React (Remote),"Quanvex - New Assuit, Assiut, Egypt 1 month ago","New Assuit, Assiut, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · HTML · CSS · JavaScript · Agile · Information Technology (IT) · Software Development · Web Design,1 month ago,https://wuzzuf.net/jobs/p/L4aYT2CJ2SPM-Senior-Front-End-Developer-–-React-Remote-Quanvex-Assiut-Egypt
Front-End Developer (Angular),"WANAGG - Cairo, Egypt 1 month ago","Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · developer · Front-End Developer · Information Technology (IT) · Software Development,2 days ago,https://wuzzuf.net/jobs/p/Nl1Q0JQQbQGq-Front-End-Developer-Angular-WANAGG-Cairo-Egypt
Front-End Developer (Angular) – AI & Azure HealthTech Platform,"Enhanced Genetics AI - Medellin, Colombia 1 month ago","Medellin, Colombia ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Angular · Azure · Front-End Developer,8 days ago,https://wuzzuf.net/jobs/p/4TeWOExGaEAc-Front-End-Developer-Angular-–-AI-Azure-HealthTech-Platform-Enhanced-Genetics-AI-Medellin-Colombia
