Job Title,Company Name,Location,Skills,Date,Link
Python Team Lead - AI & Python Engineering,"Softec Technologies - Cairo, Egypt 9 days ago","Cairo, Egypt ",Experienced · 6+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · AWS · Communication skills · Computer Science · Development · Docker · Engineering,9 hours ago,https://wuzzuf.net/jobs/p/y9FsWhj1fMll-Python-Team-Lead---AI-Python-Engineering-Softec-Technologies-Cairo-Egypt
Senior Python Developer,"Softxpert Incorporation  - Bolkly, Alexandria, Egypt 8 days ago","Bolkly, Alexandria, Egypt ",Experienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · APIs · Angular · Software Development · Software Engineering · Web Development · MySQL · Python,4 days ago,https://wuzzuf.net/jobs/p/kx4QTsoTSbKX-Senior-Python-Developer-Softxpert-Incorporation-Alexandria-Egypt
Python Automation Engineer,"Luxoft (A DXC Technology Company) - Cairo, Egypt 1 month ago","Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Information Technology (IT) · JIRA · Python · Selenium · Software Development · Testing,7 days ago,https://wuzzuf.net/jobs/p/ayajJH3Afl3R-Python-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt
Senior Python Automation Engineer,"Luxoft (A DXC Technology Company) - Cairo, Egypt 1 month ago","Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ALM · API · API Testing · Information Technology (IT) · Git · Computer Science · Development · JIRA,4 days ago,https://wuzzuf.net/jobs/p/kJNETgKZ7v9r-Senior-Python-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt
Python Backend Developer – AI & Chatbots,"OTIC - New Cairo, Cairo, Egypt 1 month ago","New Cairo, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Python Backend Developer · Database · Computer Science · Azure · APIs · Software Development · Oracle · Python · Django,2 days ago,https://wuzzuf.net/jobs/p/bwni7B3ow3qc-Python-Backend-Developer-–-AI-Chatbots-OTIC-Cairo-Egypt
Engineer,"أكاديمية ابداع للتدريب والاستشارات (Ibdaa Academy) - Bourj Alarab, Alexandria, Egypt 9 hours ago","Bourj Alarab, Alexandria, Egypt ",Entry Level · IT/Software Development · Engineering - Mechanical/Electrical · Training/Instructor · Computer Science · Engineering · Information Technology (IT) · Arduino · Python · Teaching · Development,2 days ago,https://wuzzuf.net/jobs/p/TUbDBSUy0C7A-Engineer-أكاديمية-ابداع-للتدريب-والاستشارات-Ibdaa-Academy-Alexandria-Egypt
Value-Based Healthcare Analytics Specialist,"MEAHCO - Saudi German Health - Maadi, Cairo, Egypt 4 days ago","Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Analyst/Research · SQL · python development · SAS · Tableau · Power BI · QlikView · Microsoft Excel · Microsoft Azure · AWS,4 days ago,https://wuzzuf.net/jobs/p/C3GaYz9CfuMa-Value-Based-Healthcare-Analytics-Specialist-MEAHCO---Saudi-German-Health-Cairo-Egypt
Renewable Energy Engineer,"Storlytics  - Cairo, Egypt 7 days ago","Cairo, Egypt ",Entry Level · 0 - 10 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering - Other · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python,9 days ago,https://wuzzuf.net/jobs/p/4YaAOLdnDBef-Renewable-Energy-Engineer-Storlytics-Cairo-Egypt
Data Analyst Manager,"WUZZUF - Maadi, Cairo, Egypt 10 days ago","Maadi, Cairo, Egypt ",Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,8 days ago,https://wuzzuf.net/jobs/p/78pUnInNIct1-Data-Analyst-Manager-WUZZUF-Cairo-Egypt
AI Engineer,"Quantanite - Maadi, Cairo, Egypt 4 days ago","Maadi, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Algorithms · Computer Science · Information Technology (IT) · Engineering · Python · Software,1 month ago,https://wuzzuf.net/jobs/p/iEshzfRXs8Sv-AI-Engineer-Quantanite-Cairo-Egypt
